id,year,Title,Authors
9608026,1996,Singularity Free (Homogeneous Isotropic) Universe in Graviton-Dilaton Models,S. Kalyana Rama
9608027,1996,Coordinate-free quantization of first-class constrained systems,John R. Klauder and Sergei V. Shabanov
9608028,1996,String propagation in four-dimensional dyonic black hole background,Swapna Mahapatra
9608029,1996,QED symmetries in real-time thermal field theory,"Juan Carlos D'Olivo, Manuel Torres and Eduardo Tututi"
9608030,1996,The Hausdorff Dimension of Surfaces in Two-Dimensional Quantum Gravity Coupled to Ising Minimal Matter,"M. Bowick, V. John and G. Thorleifsson (Syracuse University)"
9608031,1996,"Three-dimensional description of the $\Phi_{1,3}$ deformation of minimal models",Ian I. Kogan
9608032,1996,Effective Potential in String Induced Action,Kazuo Ghoroku and Kazunari Kaneko
9608033,1996,Bogomol'nyi Bounds for Two-Dimensional Lattice Systems,R. S. Ward
9608034,1996,Universality properties of N=2 and N=1 Heterotic threshold corrections,"E. Kiritsis, C. Kounnas, P.M. Petropoulos(CERN) and J. Rizos(CERN & SISSA)"
9608035,1996,Solving Gauge Field Theory by Discretized Light-Cone Quantization,"Hans-Christian Pauli (Max-Planck-Institut f\""ur Kernphysik, Heidelberg)"
9608036,1996,"On ""Bosonic, Fermionic and Mixed"" Supersymmetric 2-Dimensional Integrable Models",Francesco Toppan
9608037,1996,Baryogenesis and phase transition in the standard model,"D.Karczewska, R.Manka"
9608038,1996,Convection displacement current and alternative form of Maxwell-Lorentz equations,"Andrew E. Chubykalo (EFUAZ, Zacatecas) and Roman Smirnov-Rueda (ICM-CSIC, Madrid)"
9608039,1996,A Geometric Realization of Confinement,"Brian R. Greene, David R. Morrison, Cumrun Vafa"
9608040,1996,Quantum Exchange Algebra and Locality in Liouville Theory,"T. Fujiwara, H. Igarashi and Y. Takimoto (Ibaraki Univ.)"
9608041,1996,Cosmological Structure Problem of the Pre-Big Bang Scenario,J. Hwang
9608042,1996,The Coupling Constants and Masses of the Standard Model as Symmetry Normalizations,Heinrich Saller (Max-Planck-Institut fuer Physik)
9608043,1996,Fermion Condensates and the Trivial Vacuum of Light-Cone Quantum Field Theory,T. Heinzl (University of Regensburg)
9608044,1996,Massive and Massless Black Holes,Tomas Ortin
9608045,1996,Spatially Homogeneous String Cosmologies,"John D. Barrow, Kerstin E. Kunze"
9608046,1996,Dual Descriptions of Supersymmetry Breaking,Kenneth Intriligator and Scott Thomas
9608047,1996,An N=2 Superconformal Fixed Point with E_6 Global Symmetry,Joseph A. Minahan and Dennis Nemeschansky
9608048,1996,Nonperturbative calculation of symmetry breaking in quantum field theory,Carl M. Bender and Kimball A. Milton
9608049,1996,Black Holes in the Gauge Theoretic Formulation of Dilatonic Gravity,Marcelo M. Leite and Victor O. Rivelles
9608050,1996,Understanding Chiral Anomaly in Coordinate Space,Hidenori Sonoda
9608051,1996,Adiabatic Geometrical Phase for Scalar Fields in a Curved Spacetime,Ali Mostafazadeh
9608052,1996,Exact path integral of the hydrogen atom and the Jacobi's principle of least action,"Kazuo Fujikawa (Dept. of Physics, Univ. of Tokyo)"
9608053,1996,"F Theory Orientifolds, M Theory Orientifolds, and Twisted Strings",Julie D. Blum
9608054,1996,Exact and microscopic one-instanton calculations in N=2 supersymmetric Yang-Mills theories,Katsushi Ito (Univ. of Tsukuba) and Naoki Sasakura (Tohoku Univ.)
9608055,1996,Remarks on excited states of affine Toda solitons,G.M. Gandenberger and N.J. MacKay
9608056,1996,Complete determination of the singularity structure of zeta functions,E. Elizalde
9608057,1996,Bosonization of Vector and Axial-Vector Currents in 3+1 Dimensions,C.D. Fosco and F.A. Schaposnik
9608058,1996,How to treat $\gamma_5$,Hung Cheng and S.P. Li
9608059,1996,STU Black Holes and String Triality,"Klaus Behrndt, Renata Kallosh, Joachim Rahmfeld, Marina Shmakova, and Wing Kai Wong"
9608060,1996,Multi-instanton calculus versus exact results in N=2 supersymmetric QCD,Toshiyuki Harano and Masatoshi Sato
9608061,1996,Algebraic Structure of S-Theory,Itzhak Bars
9608062,1996,Dynamical Symmetry Breaking in Light-Front Gross-Neveu Model,"Kazunori Itakura (Univ. of Tokyo, Komaba)"
9608063,1996,"$U(1)^m$ modular invariants, N=2 minimal models, and the quantum Hall effect",Terry Gannon
9608064,1996,Scattering of Plane Waves in Self-Dual Yang-Mills Theory,V. E. Korepin and T. Oota
9608065,1996,A Locally Supersymmetric Action for the Scalar Particle,"Fiorenzo Bastianelli, Luca Consoli"
9608066,1996,Maxwell-Bloch equation and Correlation function for penetrable Bose gas,T. Kojima and V. Korepin
9608067,1996,A Compactification of the Real Configuration Space as an Operadic Completion,Martin Markl
9608068,1996,Equivariant Localization of Path Integrals,Richard J. Szabo
9608069,1996,Collapse versus Turbulence,"L.A. Abramyan(1), V.I. Berezhiani(2), A.P. Protogenov (1,2) ((1) IAP, Nizhny Novgorod, (2) ICTP, Trieste)"
9608070,1996,Vacuum energy in a spherically symmetric background field,M. Bordag and K. Kirsten (Leipzig University)
9608071,1996,Casimir energies for massive fields in the bag,"M. Bordag and K. Kirsten (University of Leipzig), E. Elizalde and S. Leseduarte (University of Barcelona)"
9608072,1996,An action of the gluodynamics string from the Wilson loop expansion,"D.V.Antonov (ITEP, Moscow and Humboldt University, Berlin) and D.Ebert (Humboldt University, Berlin)"
9608073,1996,Strings And Dyonic Plasmas,"O. Coceal, W. A. Sabra and S. Thomas"
9608074,1996,Z_n^3-graded colored supersymmetry,Bertrand Le Roy
9608075,1996,"Symplectic Embeddings, the Prepotentials and Automorphic Functions of $SU(1, n)\over U(1)\otimes SU(n)$","W. A. Sabra, S. Thomas and N. Vanegas"
9608076,1996,Local Boundary Conditions in Quantum Supergravity,Giampiero Esposito
9608077,1996,Superalgebras in $N=1$ Gauge Theories,P. Ramond
9608078,1996,Covariant Computation of the Low Energy Effective Action of the Heterotic Superstring,Jan de Boer and Kostas Skenderis
9608079,1996,Summing up D-Instantons,Hirosi Ooguri and Cumrun Vafa
9608080,1996,The Role of Fermions in Bubble Nucleation,"D.G. Barci, E.S. Fraga and C.A.A. de Carvalho"
9608081,1996,Neutrino Polarization as a Consequence of Gauge Invariance,Y. S. Kim
9608082,1996,Conformal internal symmetry of $2d$ $\sigma$-models coupled to gravity and a dilaton,B. Julia and H. Nicolai
9608083,1996,Motivations and Physical Aims of Algebraic QFT,B. Schroer
9608084,1996,On the Holomorphic Structure of a Low Energy Supersymmetric Wilson Effective Action,T.E. Clark and S.T. Love
9608085,1996,"HyperK\""{a}hler Quotient Construction of BPS Monopole Moduli Spaces",G.W.Gibbons and P.Rychenkova
9608086,1996,Hypermultiplet Moduli Space and String Compactification to Three Dimensions,Nathan Seiberg and Stephen Shenker
9608087,1996,Comment on prescription problem in light-cone gauge,D.K.Park
9608088,1996,"Pseudoclassical theories of Majorana, Weyl and Majorana--Weyl particles","G.V. Grigoryan, R.P. Grigoryan, I.V. Tyutin"
9608089,1996,Determinant of Laplacian on a non-compact 3-dimensional hyperbolic manifold with finite volume,"A.A. Bytsenko, Guido Cognola and Sergio Zerbini"
9608090,1996,Duality in supersymmetric gauge theories,Paolo Di Vecchia
9608091,1996,Excited State Destri - De Vega Equation for Sine-Gordon and Restricted Sine-Gordon Models,"D. Fioravanti, A. Mariottini, E. Quattrini and F. Ravanini (Bologna Univ. and INFN)"
9608092,1996,"Wigner Representation Theory of the Poincare Group, Localization, Statistics and the S-Matrix",B. Schroer
9608093,1996,String-Like Description of Gravity and Possible Applications for F-theory,Igor A. Bandos
9608094,1996,Generalized Action Principle and Geometric Approach for superstrings and super-p-branes,Igor A. Bandos
9608095,1996,Three-block p-branes in various dimensions,Anastasia Volovich
9608096,1996,Elliptic Genera of Symmetric Products and Second Quantized Strings,"R. Dijkgraaf, G. Moore, E. Verlinde, H. Verlinde"
9608097,1996,A Large Distance Expansion for Quantum Field Theory,Paul Mansfield
9608098,1996,Universality and Critical Phenomena in String Defect Statistics,Karl Strobl and Mark Hindmarsh
9608099,1996,Modular Symmetries of N=2 Black Holes,"Gabriel Lopes Cardoso, Dieter Lust and Thomas Mohaupt"
9608100,1996,"Transverse Ward-Takahashi Identity, Anomaly and Schwinger-Dyson Equation",Kei-Ichi Kondo (Chiba/Oxford University)
9608101,1996,Determinants of Dirac operators with local boundary conditions,"H.Falomir, R.E.Gamboa Sarav\'\i, M.A.Muschietti, E.M.Santangelo, J.E.Solomin"
9608102,1996,On the relation between determinants and Green functions of elliptic operators with local boundary conditions,"Horacio Alberto Falomir, Ricardo Enrique Gamboa Saravi, Mar\'{\I}a Amelia Muschietti, Eve Mariel Santangelo and Jorge Eduardo Solomin"
9608103,1996,The Schwinger model on the Torus,Azakov S.I
9608104,1996,$K3$-Fibrations and Softly Broken $N=4$ Supersymmetric Gauge Theories,"C. Gomez, R. Hernandez and E. Lopez"
9608105,1996,Three Dimensional Gauge Theories and Monopoles,Gordon Chalmers and Amihay Hanany
9608106,1996,"Symplectic Embeddings and Special Kahler Geometry of CP(n-1,1)",W. A. Sabra
9608107,1996,Manifestly Supersymmetric Lax Integrable Hierarchies,H. Aratyn and C. Rasinariu
9608108,1996,Emission of charged particles from four- and five-dimensional black holes,Steven S. Gubser and Igor R. Klebanov
9608109,1996,Toroidal Compactification of Heterotic 6D Non-Critical Strings Down to Four Dimensions,Ori J. Ganor
9608110,1996,Time evolution in general gauge theories defined on inner product spaces,Robert Marnelius
9608111,1996,"Five Dimensional SUSY Field Theories, Non-trivial Fixed Points and String Dynamics",Nathan Seiberg
9608112,1996,Yang-Mills fields for Cosets,"J.Grundberg, U.Lindstrom and M.Rocek"
9608113,1996,Enhanced Gauge Symmetry in M-Theory,K.Davis ( Rutgers University )
9608114,1996,"Duality, Multi-Monopole Dynamics & Quantum Threshold Bound States",Piljin Yi
9608115,1996,"The $:\phi^4_4:$ quantum field theory, II. Integrability of Wick kernels","Edward P. Osipov (Department of Theoretical Physics, Sobolev Institute for Mathematics, Novosibirsk, Russia)"
9608116,1996,Supersymmetric Cycles in Exceptional Holonomy Manifolds and Calabi-Yau 4-Folds,"K.Becker, M.Becker, D.R.Morrison, H.Ooguri, Y.Oz and Z.Yin"
9608117,1996,M-Theory (the Theory Formerly Known as Strings),M. J. Duff
9608118,1996,A Canonical Approach to Self-Duality of Dirichlet $3$-Brane,Shijong Ryang
9608119,1996,Vanishing of Cosmological Constant in Dual Supergravity,"M.V.Terentiev, K.N.Zyablyuk"
9608120,1996,Concerning a natural compatibility condition between the action and the renormalized operator product,Olivier de Mirleau (University of Amsterdam)
9608121,1996,On the Seiberg-Witten Approach to electric-magnetic Duality,Werner Nahm
9608122,1996,Non-Integrability of Two-Dimensional QCD,Werner Krauth (LPSENS) and Matthias Staudacher (CERN)
9608123,1996,Aspects of Confinement and Chiral Dynamics in 2-d QED at Finite Temperature,"R. Rodriguez, Y. Hosotani, J.E. Hetrick, and S. Iso"
9608124,1996,The canonical quantization of the kink -- model beyond the static solution,"A.A. Kapustnikov, A. Pashnev and A. Pichugin"
9608125,1996,Universality of the Operator Product Expansions of SCFT_4,"D. Anselmi, D.Z. Freedman, M.T. Grisaru and A.A. Johansen"
9608126,1996,Fixed Scalars and Suppression of Hawking Evaporation,"Barak Kol, Arvind Rajaraman"
9608127,1996,Dynamics of Dirichlet-Neumann Open Strings on D-branes,Akikazu Hashimoto
9608128,1996,Causality in Covariant String Field Theory,Hiroyuki Hata and Hajime Oda
9608129,1996,N=2 Moduli Spaces and N=1 Dualities for SO(n_c) and USp(2n_c) SuperQCD,"Philip C. Argyres, M. Ronen Plesser, and Alfred D. Shapere"
9608130,1996,Hamiltonian BFV-BRST theory of closed quantum cosmological models,"A.Yu. Kamenshchik and S.L. Lyakhovich (International Centre for Theoretical Physics, Trieste, Italy)"
9608131,1996,"(4,4) superfield supergravity","Sergei V. Ketov and Christine Unkmeir (ITP, University of Hannover), and Sven-Olaf Moch (DESY, Hamburg)"
9608132,1996,Large $N$ QCD and $q$-Deformed Quantum Field Theories,I.Ya.Aref'eva
9608133,1996,An Exact Solution of Gauged Thirring Model in Two Dimensions,Kei-Ichi Kondo (Chiba/Oxford University)
9608134,1996,Lensing effect of a cosmic string in Chern-Simons gravity,Edson Stedile and Rogerio Duarte
9608135,1996,Phase Transitions in Softly Broken N=2 SQCD at Non-zero Theta Angle,"N. Evans, S.D.H. Hsu and M. Schwetz (Yale University)"
9608136,1996,Kantowski-Sachs String Cosmologies,John D. Barrow and Mariusz P. Dabrowski
9608137,1996,"D-branes, Black Holes and $SU(\infty)$ Gauge Theory",I.V.Volovich
9608138,1996,Field theoretical approach to non-local interactions: 1d electrons and fermionic impurities,"C.M.Naon, M.C.von Reichenbach and M.L.Trobo (Universidad Nacional de La Plata)"
9608139,1996,The unmasking of thermal Goldstone bosons,"Jacques Bros, Detlev Buchholz"
9608140,1996,"U(1,1)--Invariant Generation of Charges for Einstein--Maxwell--Dilaton--Axion Theory",O.Kechkin and M.Yurova
9608141,1996,Propagators in Curved Space,"Frank Antonsen, Karsten Bormann"
9608142,1996,The Casimir Effect of Curved Space-time (formal developments),"Karsten Bormann, Frank Antonsen"
9608143,1996,The standard model in the on-shell scheme,Elisabeth Kraus and Klaus Sibold
9608144,1996,Green functions of 2-dimensional Yang-Mills theories on nonorientable surfaces,"M.Alimohammadi and M.Khorrami(IPM,Tehran,Iran)"
9608145,1996,Threshhold Corrections in $K3\times T2$ Heterotic String Compactifications,M. Henningson and G. Moore
9608146,1996,Statistical Topology of Real Polynomials. I: Two Variables,"George Khimshiashvili, Alexander Ushveridze"
9608147,1996,Dynamical Supersymmetry Breaking versus Run-away behavior in Supersymmetric Gauge Theories,Yuri Shirman
9608148,1996,Dilatations Revisited,HoSeong La
9608149,1996,Soldering Chiralities II: Non-Abelian Case,Clovis Wotzasek
9608150,1996,Grand canonical partition functions for multi level para Fermi systems of any order,"S. Chaturvedi, and V. Srinivasan"
9608151,1996,Asymptotic Expansions of Feynman Diagrams on the Mass Shell in Momenta and Masses,V.A. Smirnov
9608152,1996,Masses of the physical mesons from an effective QCD--Hamiltonian,"H.C. Pauli and J. Merkel (MPI Kernphysik, Heidelberg, Germany)"
9608153,1996,"An interpolation between Bose, Fermi and Maxwell-Boltzmann statistics based on Jack Polynomials",S. Chaturvedi and V. Srinivasan
9608154,1996,Perturbative Couplings and Modular Forms in N=2 String Models with a Wilson Line,"Gabriel Lopes Cardoso, Gottfried Curio, Dieter Lust"
9608155,1996,On the physical Hilbert space of QCD$_2$ in the decoupled formulation,D. C. Cabra and K. D. Rothe
9608156,1996,Recursion Rules for Scattering Amplitudes in Non-Abelian Gauge Theories,Chanju Kim and V. P. Nair (City College of New York)
9608157,1996,Holomorphic Anomalies and the Nonrenormalization Theorem,Erich Poppitz and Lisa Randall
9608158,1996,A Relation between the Anomalous Dimensions and OPE Coefficients in Asymptotic Free Field Theories,Hidenori Sonoda and Wang-Chang Su
9608159,1996,Dynamical Chern-Simons term generation at finite density,"A.N. Sissakian, O.Yu. Shevchenko and S.B. Solganik"
9608160,1996,Gauge parameter dependence and gauge invariance in the Abelian Higgs model,"Rainer Haeussling, Elisabeth Kraus"
9608161,1996,Integrability as Effective Principle of Nonperturbative Field and String Theories,A.Marshakov
9608162,1996,Can Extremal Black Holes Have Non-Zero Entropy ?,"Saurya Das, Arundhati Dasgupta and P. Ramadevi"
9608163,1996,"D-branes, Monopoles and Nahm Equations",Duiliu-Emanuel Diaconescu (Rutgers University)
9608164,1996,N-Extended Local Supersymmetry of Massless Particles in Spaces of Constant Curvature,S.M. Kuzenko
9608165,1996,Multiple Vacua and Boundary Conditions of Schwinger-Dyson Equations,Zachary Guralnik (Princeton University)
9608166,1996,Two-dimensional Superintegrable Mappings and Integrable Hierarchies in the $(2|2)$ Superspace,A.N. Leznov and A.S. Sorin
9608167,1996,Different D-brane Interactions,H. Arfaei and M.M. Sheikh Jabbari
9608168,1996,Brans-Dicke Theory on $M_4\times Z_2$ Geometry,"Akira Kokado, Gaku Konisi, Takesi Saito, Kunihiko Uehara"
9608169,1996,Balanced Topological Field Theories,"R. Dijkgraaf, G. Moore"
9608170,1996,Fermions in Black Hole Space-Time: Hawking Radiation and Back Reaction,"Arundhati Dasgupta, Parthasarathi Majumdar"
9608171,1996,Condensation of p-branes and generalized Higgs/confinement duality,Fernando Quevedo and Carlo Trugenberger
9608172,1996,Applications of Supersymmetric Matrix Models,Yu. Makeenko
9608173,1996,Domain Walls in Massive Supergravities,"P.M. Cowdall, H. Lu, C.N. Pope, K.S. Stelle and P.K. Townsend"
9608174,1996,On Euclidean spinors and Wick rotations,Peter van Nieuwenhuizen and Andrew Waldron
9608176,1996,Anomalous Behavior in the Massive Schwinger Model,Yutaka Hosotani and Ramon Rodriguez
9608177,1996,New Goldstone multiplet for partially broken supersymmetry,"Jonathan Bagger, Alexander Galperin"
9608178,1996,BRST-BFV method for nonstationary systems,"J. Antonio Garc\'ia, J. David Vergara and Luis F. Urrutia"
9608179,1996,Spin Factor in Path Integral Representation for Dirac Propagator in External Fields,D.M. Gitman and S.I. Zlatev
9608180,1996,Path Integrals and Pseudoclassical Description for Spinning Particles in Arbitrary Dimensions,D.M. Gitman
9608181,1996,Thermalization and Lyapunov Exponents in the Yang-Mills-Higgs Theory,"U. Heinz, C. Hu, S. Leupold, S. Matinyan, B. Muller (Duke University)"
9608182,1996,Duality and zero-point length of spacetime,T. Padmanabhan
9608183,1996,Exceptional SW Geometry from ALE Fibrations,W. Lerche and N.P. Warner
9608184,1996,Calabi--Yau Phases of the Superstring Vacuum,"Yuri M. Malyuta, Nikolay N. Aksenov"
9608185,1996,The Moduli Space of BPS Monopoles,Kimyeong Lee
9608186,1996,A Comment on BPS States in F-theory in 8 Dimensions,A. Johansen
9608187,1996,Chiral Decomposition For Non-Abelian Bosons,Nelson R. F. Braga and Clovis Wotzasek
9608188,1996,Some Complex Quantum Manifolds and their Geometry,"Chong-Sun Chu, Pei-Ming Ho and Bruno Zumino"
9608189,1996,Spinors and forms on generalised cones,J.S. Dowker and Klaus Kirsten
9608190,1996,Integrability vs. Supersymmetry,"J. M. Evans (DAMTP, Cambridge), J. O. Madsen (ENSLAPP, Annecy)"
9608191,1996,Dual description of QCD,H. Reinhardt
9608192,1996,Massless fermions in a bag at finite density and temperature,"M. De Francia, H. Falomir and M. Loewe"
9608193,1996,Two-Loop Diagrams in Causal Perturbation Theory,A. Aste and G. Scharf
9608194,1996,"Singularities, Gauge Dynamics, and Nonperturbative Superpotentials in String Theory",Shamit Kachru and Eva Silverstein
9608195,1996,Cosmological Solutions of Type II String Theory,"Andre Lukas, Burt A. Ovrut and Daniel Waldram"
9608196,1996,Restoring Reality for the Self-Dual N=2 String,"Jan Bischoff and Olaf Lechtenfeld (Univ. of Hannover, Germany)"
9608197,1996,The Cosmology of String Theoretic Axions,Tom Banks and Michael Dine
9609001,1996,Towards a loop representation of connection theories defined over a super Lie algebra,"L.F. Urrutia (Universidad Autonoma Metropolitana-I, Universidad Nacional Autonoma de Mexico)"
9609002,1996,Braided structure of fractional $Z_3$-supersymmetry,"J.A. de Azc\'arraga, R. S. Dunne, A. J. Macfarlane and J. C. P\'erez Bueno"
9609003,1996,Coloured Black Holes in Higher Curvature String Gravity,P. Kanti and K. Tamvakis
9609004,1996,"The OSp(32|1) versus OSp(8|2) supersymmetric M-brane action from self-dual (2,2) strings","Sergei V. Ketov (ITP, University of Hannover)"
9609005,1996,A Note on Tensionless Strings in M-Theory,K. Davis
9609006,1996,Understanding the area proposal for extremal black hole entropy,A. Ghosh and P. Mitra
9609007,1996,Interaction Representation in Boltzmann Field Theory,I.Ya. Arefeva and A.P. Zubarev
9609008,1996,Phase Structure of the O(n) Model on a Random Lattice for n>2,"B. Durhuus (Mathematics Institute, University of Copenhagen) and C. Kristjansen (NORDITA, Copenhagen)"
9609009,1996,"General covariance, and supersymmetry without supersymmetry",Viqar Husain
9609010,1996,An extension of the Cayley-Hamilton theorem to the case of supermatrices,"L.F. Urrutia (Universidad Autonoma Metropolitana-I, Universidad Nacional Autonoma de Mexico), N. Morales (Universidad Autonoma
 Metropolitana-I)"
9609011,1996,On Non-Abelian Thomas-Fermi Screening,"G. Alexanian and V.P. Nair (Physics Dept., CCNY)"
9609012,1996,Response to the Comment by G. Emch on Projective Group Representations in Quaternionic Hilbert Space,S.L. Adler
9609013,1996,Weak Field Expansion of Gravity and Graphical Representation,Shoichi Ichinose and Noriaki Ikeda
9609014,1996,New Algorithm for Tensor Calculation in Field Theories,Shoichi Ichinose
9609015,1996,On Orientifold Constructions of Type IIA Dual Pairs,Anindya K. Biswas
9609016,1996,Vector-Tensor multiplet in N=2 superspace with central charge,"Ahmed Hindawi, Burt A. Ovrut, and Daniel Waldram"
9609017,1996,On the algebras of BPS states,Jeffrey A. Harvey and Gregory Moore
9609018,1996,Dynamical Symmetry Breaking in Flat Space with Non-trivial Topology,"Ken-ichi Ishikawa,Tomohiro Inagaki,Kenji Fukazawa and Kezuhiro Yamamoto"
9609019,1996,Equation of state and coarse grained free energy for matrix models,J. Berges and C. Wetterich
9609020,1996,From Conformal Haag-Kastler Nets to Wightman Functions,Martin Joerss
9609021,1996,"Confinement, Supersymmetry Breaking and Theta Parameter Dependence in the Seiberg-Witten Model",K. Konishi (Univ. of Genova)
9609022,1996,Chiral Deformations of Conformal Field Theories,R. Dijkgraaf
9609023,1996,Path-Integral Aspects of Supersymmetric Quantum Mechanics,Georg Junker
9609024,1996,Integrable Mappings for Non--Commutative Objects,"A.N. Leznov (Institute for High Energy Physics, Protvino, Russia)  and E.A. Yuzbashyan (Joint Institute for Nuclear Research, Dubna, Russia)"
9609025,1996,A Quantum Many-body Problem in Two Dimensions: Ground State,Avinash Khare and Koushik Ray
9609026,1996,Black Hole Greybody Factors and D-Brane Spectroscopy,Juan Maldacena and Andrew Strominger
9609027,1996,Three-Family SU(5) Grand Unification in String Theory,Zurab Kakushadze and S.-H. Henry Tye
9609028,1996,High Momentum Behavior of Geometric Bremsstrahlung in the Expanding Universe,"M. Hotta, H. Inoue, I. Joichi and M. Tanaka"
9609029,1996,A toy model of quantum gravity with a quantized cosmological constant,"Kazuo Fujikawa (Dept. of Physics, Univ. of Tokyo)"
9609030,1996,"Hamiltonian reduction of free particle motion on group SL(2, ${\Bbb R}$)","A. V. Razumov, V. I. Yasnov"
9609031,1996,Multidimensional Toda type systems,"A. V. Razumov, M. V. Saveliev"
9609032,1996,Octonionic Quantum Mechanics and Complex Geometry,Stefano De Leo and Khaled Abdel-Khalek (Lecce Univ.)
9609033,1996,Octonionic Dirac Equation,Stefano De Leo and Khaled Abdel-Khalek (Lecce)
9609034,1996,Free Equations for Massive Matter Fields in 2+1 Dimensional Anti-de Sitter Space From Deformed Oscillator Algebra,"A.V. Barabanschikov, S.F. Prokushkin, and M.A. Vasiliev"
9609035,1996,Static solitons with non-zero Hopf number,Jens Gladikowski and Meik Hellmund
9609036,1996,Perturbative approach to the critical behaviour of two-matrix models in the limit N -> infinity,"S. Balaska, J. Maeder, W. Ruehl"
9609037,1996,Gauge Independence of the Lagrangian Path Integral in a Higher-Order Formalism,"I.A. Batalin, K. Bering and P.H. Damgaard"
9609038,1996,"The W(sl(N+3),sl(3)) algebras and their contractions to W3","S. Bellucci, S. Krivonos, A. Sorin"
9609039,1996,Thermofield Dynamics of the Closed Bosonic String - Physical Aspects of the Thermal Duality -,H. Fujisaki and K. Nakagawa
9609040,1996,Scheme Independence at First Order Phase Transitions and the Renormalisation Group,Daniel F. Litim
9609041,1996,The Effective Prepotential of N=2 Supersymmetric SU(N_c) Gauge Theories,"Eric D'Hoker, I. M. Krichever and D. H. Phong"
9609042,1996,Quantum Charged Spinning Particles in a Strong Magnetic Field (a Quantal Guiding Center Theory),"P. Maraner (Univ. of Parma, Italy)"
9609043,1996,Stability of the quantum supermembrane in a manifold with boundary,J.G. Russo
9609044,1996,Fermionic Path Integrals and Analytic Solutions for Two-Dimensional Ising Models,V.N. Plechko (Bogoliubov Lab Dubna)
9609045,1996,The Renormalization-Group Method Applied to Asymptotic Analysis of Vector Fields,Teiji Kunihiro
9609046,1996,Phenomenology of Strongly Coupled Heterotic String Theory,T. Banks and M. Dine
9609047,1996,Renormalization Effects in a Dilute Bose Gas,Eric Braaten and Agustin Nieto (Ohio State University)
9609048,1996,A Note on Brans-Dicke Cosmology with Axion,Sudipta Mukherji
9609049,1996,Unraveling spontaneously broken abelian Chern-Simons theories,Mark de Wild Propitius
9609050,1996,"Temperature, Topology and Quantum Fields",Igor Kulikov
9609051,1996,String Theory Dualities,Michael Dine
9609052,1996,Universailty of Low Energy Absorption Cross-sections for Black Holes,"Sumit R. Das, Gary Gibbons and Samir D. Mathur"
9609053,1996,Non-BPS excitations of D-branes and Black holes,Samir D. Mathur
9609054,1996,Manifestly Gauge Covariant Treatment of Lattice Chiral Fermion,Hiroshi Suzuki (Ibaraki University)
9609055,1996,Hamiltonian Approach to the Gribov Problem,T. Heinzl (University of Regensburg)
9609056,1996,Four-dimensional High-Branes as Intersecting D-Branes,"E. Bergshoeff, M. de Roo, S. Panda"
9609057,1996,Non-Perturbative Aspects of Scalar Field theory,"Y. Meurice, S. Niermann and G. Ordaz (Dept. of Phys. and Astr., University of Iowa, Iowa City)"
9609058,1996,The $U_L(3) \times U_R(3)$ Extended Nambu--Jona-Lasinio Model in Differential Regularization,"Yaw-Hwang Chen, Su-Long Nyeo, Yeou-Wei Yang (National Cheng Kung Univ., Taiwan, ROC)"
9609059,1996,On the Moduli Space of N = 2 Supersymmetric G_2 Gauge Theory,"Karl Landsteiner, John M. Pierre and Steven B. Giddings"
9609060,1996,An Explicit Construction of Casimir Operators and Eigenvalues : I,H. R. Karadayi and M. Gungormez
9609061,1996,Multiflavor Correlation Functions in non-Abelian Gauge Theories at Finite Density in two dimensions,"Hugo R. Christiansen (CBPF, Rio de Janeiro, Brazil) and Fidel A. Schaposnik (UNLP, La Plata, Argentina)"
9609062,1996,Prepotentials in N=2 Supersymmetric SU(3) YM-Theory with Massless Hypermultiplets,"Holger Ewen, Kristin Foerger, Stefan Theisen"
9609063,1996,Calogero-Sutherland Particles as Quasisemions,G. Amelino-Camelia
9609064,1996,Comment on Partition Function of Anyon Gas,G. Amelino-Camelia and L. Hua
9609065,1996,Prepotential of $N=2$ Supersymmetric Yang-Mills Theories in the Weak Coupling Region,Takahiro Masuda and Hisao Suzuki (Hokkaido University)
9609066,1996,Periods and Prepotential of N=2 SU(2) Supersymmetric Yang-Mills Theory with Massive Hypermultiplets,Takahiro Masuda and Hisao Suzuki (Hokkaido University)
9609067,1996,Nonperturbative renormalization group in a light-front three-dimensional real scalar model,Takanori Sugihara (Kyushu university) and Masanobu Yahiro (National university of fisheries)
9609068,1996,Form factors for principal chiral field model with Wess-Zumino-Novikov-Witten term,P. Mejean and F.A. Smirnov
9609069,1996,Gauge invariant action at the ultraviolet cutoff,M. Bonini and G. Marchesini
9609070,1996,Extremal Transitions and Five-Dimensional Supersymmetric Field Theories,David R. Morrison and Nathan Seiberg
9609071,1996,"Small Instantons, del Pezzo Surfaces and Type I' theory","M.R. Douglas, S. Katz and C. Vafa"
9609072,1996,Zeta function regularization in de Sitter space: the Minkowski limit,Alan Chodos and Andras Kaiser
9609073,1996,Spontaneous Breaking of Extended Supersymmetry in Global and Local Theories,M. Porrati
9609074,1996,BRS symmetry versus supersymmetry in Yang-Mills-Chern-Simons theory,F. Ruiz Ruiz and P. van Nieuwenhuizen
9609075,1996,Counting Schwarzschild and Charged Black Holes,"E. Halyo, B. Kol, A. Rajaraman, L. Susskind"
9609076,1996,Four-dimensional greybody factors and the effective string,S.S. Gubser and I.R. Klebanov
